"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"PCTORIG06","Origin of PCTCODE06","String(6)","The basis on which the code in the field PCTCODE06 was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",NA,NA,NA
"PERSTART","CDS Report Period Start Date","Date(YYYY-MM-DD)","A system field used for the purposes of submitting data to SUS. It defines the start date for the range of data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.","YYYY-MM-DD  = The start date for the range of data contained in the SUS submission",NA,NA,NA
"PGPPRAC","Pseudonymised Code of GP Practice","String(16)","A pseudonymised version of the GP practice code (GPPRAC).","16an = Pseudonymised GP practice code
& = Unknown",NA,NA,NA
"POSTDIST","Postcode District","String(4)","The outward portion of the patient's postcode (i.e. all characters to the left of the space). The code ZZ99 indicates the postcode was either unavailable, or that the patient did not have one (e.g. because they were normally resident abroad).","an, aan, ann, or aann = Postcode district 
ZZ99 = Unavailable / not applicable",NA,NA,"Y"
"PREFERER","Referrer Code (Pseudonymised)","String(16)","A pseudonymised version of the Referrer Code (REFERRER).","16an = Pseudonymised referrer code  
& = Referrer code is null
99 = Referrer code is invalid","RULE_9004",NA,NA
"PRIMERECP","CDS Prime Recipient Identity","String(12)","This is a system field that represents the organisation determined to be the prime recipient of the data.","an3 or an5 = Prime recipient",NA,NA,NA
"PRIORITY","Priority Type","Number","The priority of a request for services; in the case of services to be provided by a consultant, it is as assessed by or on behalf of the consultant.","1 = Routine
2 = Urgent
3 = Two week wait
9 = Not known","RULE_0081",NA,NA
"PROCODE","Provider Code","Number","The code of the organisation acting as the health care provider. This field can contain a mixture of organisation codes and site codes (some providers submit all their records to their main organisation code, others use individual site codes). See the derived fields PROCODE3 and PROCODET for alternative ways to identify the provider organisation.

Note that the structure of newly allocated organisation codes changed in 2020:

For organisation codes that were allocated prior to October 2020:
Organisations are allocated a main 3-character code which represents the organisation (e.g. an NHS Trust), and 5-character codes to represent sites within that organisation. Sites are allocated the same first 3 characters as the organisation code, with the remaining 2 characters being used to identify the site within that organisation.  For NHS organisations, this field may contain the 3-character organisation code or a full 5-character code (e.g. a site code, a HQ code ending 01 etc.), depending on what was submitted by the provider. Independent providers will always be represented in this field by a 5-character code.

Organisation codes that begin with an '8' represent non-NHS organisations and do not follow the same format - these codes are 5 characters long and cannot be grouped based on the first 3 characters of the code.

For organisation codes allocated from 1st October 2020 onwards:
Organisation codes are 5 characters in length, with an alternating ANANA alphabetic-numeric structure (where ‘A’ represents an alphabetic character, and ‘N’ represents a numeric character). Unlike the previous code structure, these codes cannot be grouped to the first 3-characters to identify the parent organisation code.

The new code structure introduced in 1 October 2020 has only been applied to codes that were registered from this date onwards (codes issued prior to this date will not be replaced with a new format code). A mixture of the different code formats will therefore be present in the data from 2020-21 onwards.","3an or 5an = Provider code 
89997 = UK provider where no organisation code has been issued 
89999 = Non-NHS UK provider where no organisation code has been issued",NA,NA,NA
"PROCODE3","Provider Organisation Code","String(5)","The code of the organisation acting as the health care provider. The code in this field always represents the organisation (e.g. the NHS Trust), and does not contain site codes.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details). 

Codes for organisations registered after 1st October 2020 will be 5 characters in length rather than 3 characters.","3an to 5an = Provider organisation code",NA,NA,NA
"PROCODE5","Provider Code (5 character)","String(5)","The code of the organisation acting as the health care provider. This field represents the code from the PROCODE field to 5-characters. Where PROCODE contains a 3-character code, it is padded to the right with additional zeros in this field.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details).","5an = Provider code to 5 characters
89997 = Non-UK provider where no organisation code has been issued  
89999 = Non-NHS UK provider where no organisation code has been issued",NA,NA,NA
"PROVDIST","Distance Between LSOA11 and Provider","String(15)","The distance in kilometres between the Lower Super Output Area 2011 (LSOA11) centroid and the provider. The provider is defined as PROCODE5 (if populated) or PROCODE3 if PROCODE5 is not populated or the last two characters of PROCODE5 are 00.","nnn.nn = Distance in kilometres",NA,NA,NA
"PROVDIST_FLAG","Derivation of PROVDIST","String(1)","Flag to indicate if the PROVDIST field was calculated using PROCODE5 or PROCODE3.","5 = PROVDIST was calculated from PROCODE5
3 = PROVDIST was calculated from PROCODE3",NA,NA,NA
"PURVAL","Commissioner Code Status","String(1)","A flag to indicate whether the submitted commissioner code (PURCODE) is one that is recognised throughout the NHS. If not, the code may have been agreed locally between the hospital provider and the health care purchaser.","0 = Purchaser code is not recognised throughout the NHS  
1 = Purchaser code is recognised throughout the NHS",NA,NA,"Y"
"REFERRER","Referrer Code","String(8)","The person who referred the patient. This may be the GMC code for the consultant, or the code that defines the practice of the patient's registered GMP or GDP. 

A pseudonymised version of this field can be found in PREFERRER","an8 = Referrer code
A9999998 = Ministry of Defence Doctor
C9999998 = Consultant, General Medical Council (GMC) number not known  
D9999998 = Dentist, General Dental Practitioner Code (GDC) not known
CD999998 = Dental consultant: GMC / GDC number not known  
R9999981 = Referrer other than GP, general dental practitioner or consultant  
X9999998 = Not applicable, e.g. patient has self-presented or not known  
& = Referrer code not recorded
99 = Referrer code invalid","RULE_0410",NA,NA
"REFSOURC","Source of Referral","String(2)","The source of referral for the consultant outpatient episode.","Initiated by the consultant responsible for the outpatient attendance: 
01 = Following an emergency admission  
02 = Following a domiciliary visit  
10 = Following an Accident and Emergency Attendance  
11 = Other  
Not initiated by the consultant responsible for the outpatient attendance: 
03 = Referral from a general medical practitioner  
04 = Referral from an accident and emergency department  
05 = Referral from a consultant, other than in an accident and emergency department  
06 = Self Referral  
07 = Referral from prosthetist  
12 = Referral from GP with special interest  
13 = Referral from a specialist nurse (secondary care)  
14 = Referral from an allied health professional  
15 = Referral from an optometrist  
16 = Referral from a orthoptist  
17 = Referral from a national screening programme  
92 = General dental practitioner  
93 = Community dental service  
08 = Other source of Referral  
97 = Other – not initiated by the consultant responsible for the consultant outpatient episode  
99 = Not known","RULE_0161",NA,NA
"REQDATE","Referral Request Received Date","Date(YYYY-MM-DD)","The date the referral request was received by the healthcare provider.","YYYY-MM-DD = Referral request received date
1800-01-01 = Null
1801-01-01=  Invalid date submitted","RULE_0035",NA,NA
"RESCTY","County of Residence","String(2)","For activity from 2011-12 onwards, HES users are advised to use the field RESCTY_ONS instead of RESCTY.

The county of residence of the patient, derived in HES from the patient's postcode (HOMEADD).

Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESCTY_ONS represents the county of residence using codes from the current ONS geographical coding system.","00 = Unitary authority  
09 = Bedfordshire  
00 = Not available (patient was resident within a Unitary Authority)
11 = Buckinghamshire  
12 = Cambridgeshire  
16 = Cumbria  
17 = Derbyshire  
18 = Devon  
19 = Dorset  
21 = East Sussex  
22 = Essex  
23 = Gloucestershire  
24 = Hampshire  
26 = Hertfordshire  
29 = Kent  
30 = Lancashire  
31 = Leicestershire  
32 = Lincolnshire  
33 = Norfolk 
34 = Northamptonshire  
36 = North Yorkshire  
37 = Nottinghamshire  
38 = Oxfordshire  
40 = Somerset  
41 = Staffordshire  
42 = Suffolk  
43 = Surrey  
44 = Warwickshire  
45 = West Sussex  
47 = Worcestershire  
S = Scotland  
U = No fixed abode
W = Wales  
X = Foreign (from 1990-91 onwards)  
Y = Not known  
Z = Northern Ireland",NA,NA,NA
"RESCTY_ONS","County of Residence (ONS)","String(12)","The county of residence of the patient, derived in HES from the patient's postcode (HOMEADD).","E10000002 - E10000034 = county of residence (England)
E99999999 = Unitary Authority (England)
W99999999 = Wales
S99999999 = Scotland
N99999999 = Northern Ireland
L99999999 = Channel Islands
M99999999 = Isle of Man
U = No fixed abode
X = Foreign   
Y = Not known",NA,NA,NA
"RESGOR","Government Office Region of Residence","String(1)","For activity from 2011-12 onwards, HES users are advised to use the field RESGOR_ONS instead of RESGOR 

The Government Office Region (GOR) area of residence of the patient, derived in HES from the patient's postcode (HOMEADD). Note that GORs closed on 31 March 2011, but this regional geography is maintained for statistical purposes and after this date is referred to simply as 'regions'.

Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESGOR_ONS represents the government office region of residence using codes from the current ONS geographical coding system.","A = North East
B = North West
D = Yorkshire and Humber
E = East Midlands
F = West Midlands
G = East of England
H = London
J = South East
K = South West
S = Scotland
U = No fixed abode
W = Wales
X = Foreign (including Isle of Man and Channel Islands)
Y = Unknown
Z = Northern Ireland",NA,NA,NA
"RESGOR_ONS","Government Office Region of Residence (ONS)","String(9)","The Government Office Region (GOR) area of residence of the patient, derived in HES from the patient's postcode (HOMEADD). Note that GORs closed on 31 March 2011, but this regional geography is maintained for statistical purposes and after this date is referred to simply as 'regions'.","E12000001  =North East
E12000002 = North West
E12000003 = Yorkshire and Humber
E12000004 = East Midlands
E12000005 = West Midlands
E12000006 = East of England
E12000007 = London
E12000008 = South East
E12000009 = South West
E99999999 = England (not otherwise stated)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = No fixed abode
X = Foreign
Y = Unknown",NA,NA,NA
"RESHA","Health Authority of Residence","String(3)","The Health Authority (HA) area of residence, derived in HES from the patient's postcode (HOMEADD).

In 2002 following a reorganisation of health areas, HAs were replaced by Strategic Health Authorities. This field continued to be derived after this date as a ‘frozen’ geography.","3an = Health authority of residence 
S = Scotland 
U = no fixed abode
W = Wales 
X = Foreign (including Isle of Man and Channel Islands) 
Y = Unknown 
Z = Northern Ireland",NA,NA,NA
"RESLADST","Local Authority District of Residence","String(9)","For activity from 2011-12 onwards, HES users are advised to use the field RESLADST_ONS instead of RESLADST.

The county (first two characters) and local authority district (last two characters) of residence of the patient, derived in HES from the patient's postcode (HOMEADD). Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESLADST_ONS represents the local authority district of residence using codes from the current ONS geographical coding system.

RESLADST is used in conjunction with CURRWARD (current electoral ward) to produce a unique value indicating the ward within a given district where the patient resided (i.e. because identical CURRWARD codes are allocated to many local authority districts, CURRWARD is meaningless in isolation). If the patient is resident within a Unitary Authority, the first two characters will be 00 (zero, zero) and the local authority component may not be useable.","4an = Local authority district code 
S = Scotland 
U = no fixed abode
W = Wales 
Y = Not known 
Z = Northern Ireland 
X = Foreign (includes Isle of Man)",NA,NA,NA
"RESLADST_ONS","Local Authority District of Residence (ONS)","String(9)","The current local authority district of residence of the patient, derived in HES from the patient's postcode (HOMEADD).","9an = Local authority district code
E99999999 = England (not otherwise stated)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = No fixed abode
X = Foreign
Y = Not known",NA,NA,NA
"RESPCT_HIS","Primary Care Trust of Residence","String(8)","The Primary Care Trust (PCT) of residence dependent on the data year. 

If the HES data year is 2006 or later, it will return the value from the field RESPCT06. If the data year is earlier than 2006, it will return the value from the field RESPCT02.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5** = PCT 
Taa = Care trust 
6** = Wales 
S** = Scotland 
Y** = Manx and Channel Islands 
Z** = Northern Ireland 
59898 = Other not applicable (non-England) 
59999 = Unknown PCT",NA,NA,NA
"RESPCT02","Primary Care Trust of Residence 2002","String(8)","The Primary Care Trust (PCT) of residence of the patient, based on 2002-03 PCT boundaries, derived in HES from the patient's postcode (HOMEADD).

This PCT structure was superseded in 2006 - the code representing the PCTs that were in place after this restructure can be found in the field RESPCT06.","5** = PCT 
Taa = Care trust 
6** = Wales 
S** = Scotland 
Y** = Manx and Channel Islands 
Z** = Northern Ireland 
59898 = Other not applicable (non-England) 
59999 = Unknown PCT",NA,NA,NA
"RESPCT06","Primary Care Trust of Residence 2006","String(9)","The Primary Care Trust (PCT) area of residence of the patient, based on 2006-07 PCT boundaries, derived in HES from the patient's postcode (HOMEADD).

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5** = PCT 
Taa = Care trust 
6** = Wales 
S** = Scotland 
Y** = Manx and Channel Islands 
Z** = Northern Ireland 
59898 = Other not applicable (non-England) 
59999 = Unknown PCT",NA,NA,NA
"RESRO","Regional Office of Residence","String(3)","The Regional Office (RO) area of residence of the patient, derived in HES from the patient's postcode (HOMEADD).

ROs were abolished in 2002. This field continued to be derived after this date as a ‘frozen’ geography.","Y01 = Northern and Yorkshire  
Y02 = Trent  
Y07 = West Midlands  
Y08 = North West  
Y09 = Eastern  
Y10 = London  
Y11 = South East  
Y12 = South West  
W00 = Wales  
S00 = Scotland  
Z00 = Northern Ireland  
U00 = No fixed abode
Y00 = Unknown  
X00 = Foreign (includes Channel Islands and the Isle of Man)",NA,NA,NA
"RESSTHA_HIS","Strategic Health Authority of Residence","String(8)","The Strategic Health Authority (SHA) of residence dependent on the data year. 

If the HES data year is 2006 or later, it will return the value from the field RESSTHA06. If the data year is earlier than 2006, it will return the value from the field RESSTHA02.

In 2013 following a reorganisation of health areas, SHAs were abolished. This field continued to be derived after this date as a 'frozen' geography.","an3 = Strategic Health Authority of residence
S = Scotland 
U = no fixed abode
W or Q99 = Wales 
X = Foreign (includes Channel Islands and the Isle of Man)
Y = Unknown 
Z = Northern Ireland",NA,NA,NA
"RESSTHA02","Strategic Health Authority of Residence 2002","String(8)","The Strategic Health Authority (SHA) of residence of the patient, based on historic SHA boundaries that existed between 2002 and 2006, derived in HES from the patient's postcode (HOMEADD).

This structure was superseded in 2006 - the code representing the SHAs that were in place after this restructure can be found in the field RESSTHA06.","an3 = Strategic Health Authority of residence 2002
S = Scotland 
U = no fixed abode
W or Q99 = Wales 
X = Foreign (includes Channel Islands and the Isle of Man)
Y = Unknown 
Z = Northern Ireland",NA,NA,NA
"RESSTHA06","Strategic Health Authority of Residence 2006","String(9)","The Strategic Health Authority (SHA) of residence of the patient, based on historic SHA boundaries that existed between 2006 and 2013, derived in HES from the patient's postcode (HOMEADD).

In 2013 following a reorganisation of health areas, SHAs were abolished. This field continued to be derived after this date as a 'frozen' geography.","an3 = Strategic Health Authority of residence 2006
S = Scotland 
U = no fixed abode
W or Q99 = Wales 
X = Foreign (includes Channel Islands and the Isle of Man)
Y = Unknown 
Z = Northern Ireland",NA,NA,NA
"RURURB_IND","Rural / Urban Indicator","String(9)","A code that describes the nature of an Output Area in terms of its morphology (hamlet, town, urban, etc) and context (sparse or less sparse), derived in HES from the patient's postcode (HOMEADD).","1 = Urban =>10K - sparse: Output Area falls within Urban settlements with a population of 10,000 or more and the wider surrounding area is sparsely populated.  
2 = Town and Fringe - sparse. Output Area falls within the Small Town and Fringe areas category and the wider surrounding area is sparsely populated.  
3 = Village - sparse. Output Area falls within the Village category and the wider surrounding area is sparsely populated. 
4 = Hamlet and Isolated dwelling - sparse. Output Area falls within the Hamlet & Isolated Dwelling category and the wider surrounding area is sparsely populated.  
5 = Urban =>10K - less sparse. Output Area falls within Urban settlements with a population of 10,000 or more and the wider surrounding area is less sparsely populated.  
6 = Town and Fringe - less sparse. Output Area falls within the Small Town and Fringe areas category and the wider surrounding area is less sparsely populated.  
7 = Village - less sparse. Output Area falls within the Village category and the wider surrounding area is less sparsely populated.  
8 = Hamlet and Isolated Dwelling - less sparse. Output Area falls within the Hamlet & Isolated Dwelling category and the wider surrounding area is less sparsely populated.  
9 = Postcode in Scotland/NI/Channel Islands/Isle of Man/pseudo postcodes  
Space = No information available",NA,NA,NA
"SERVTYPE","Service Type Requested","Number","The terms of reference for the referral request.","1 = Advice / consultation  
2 = Specific procedure  
3 = Other  
9 = Not known","RULE_0151",NA,NA
"SEX","Current Gender of Patient","String(1)","The current gender of the patient. The classification is phenotypical rather than genotypical, i.e. it does not provide codes for medical or scientific purposes.
Notes:
• National Code 'Not Known' means that the sex of a person has not been recorded
• National Code 'Not Specified' means indeterminate, i.e. unable to be classified as either male or female.
","1 = Male  
2 = Female  
9 = Not specified  
0 = Not known","RULE_0060",NA,NA
"SITEDIST","Distance Between LSOA11 and Site Code of Treatment","String(15)","The distance in kilometres between the Lower Super Output Area 2011 (LSOA11) centroid and the site of treatment. Site of treatment is defined as first five characters of SITETRET or first 3 characters of SITETRET if SITETRET is not populated with 5 characters.","nnn.nn = Distance in kilometres",NA,NA,NA
"SITEDIST_FLAG","Derivation of SITEDIST","String(1)","Flag to indicate if the SITEDIST field was calculated using 3 or 5 characters from the SITETRET field.","5 = SITEDIST was calculated from the first 3-characters of SITETRET
3 = SITEDIST was calculated from the full 5-character SITETRET code",NA,NA,NA
"SITETRET","Site Code of Treatment","String(12)","The site on which the patient was treated within an organisation. The code recorded should be the one of the Health Care Provider actually carrying out the work.

For outpatients, activity may take place outside the hospital, such as in the patient's home; in such cases, raising a site code is impractical. Therefore, code R9998 'not a hospital site' would be used in these circumstances. 

Note that the structure of newly allocated organisation codes and site codes changed in 2020:

For codes that were allocated prior to October 2020:
For codes allocated prior to October 2020, the first 3 digits of the code represent the organisation with the last two digits being the site identifier. 

For codes allocated from 1st October 2020 onwards:
Organisation codes are 5 characters in length, with an alternating ANANA alphabetic-numeric structure (where ‘A’ represents an alphabetic character, and ‘N’ represents a numeric character). Unlike the previous code structure, these codes cannot be grouped to the first 3-characters to identify the parent organisation code.

The new code structure introduced in 1 October 2020 has only been applied to codes that were registered from this date onwards (codes issued prior to this date will not be replaced with a new format code). A mixture of the different code formats will therefore be present in the data from 2020-21 onwards.","5an = Site code 
89999 = Non-NHS UK provider where no organisation site code has been issued  
89997 = Non-UK provider where no organisation site code has been issued
R9998 = Not a hospital site",NA,NA,NA
"STAFFTYP","Medical Staff Type","String(2)","The type of care professional staff dealing with the patient during a consultant outpatient attendance, or nurse or midwife contact.","01 = Consultant (Retired 1 April 2005)  
02 = Member of Consultant firm (Retired 1 April 2005)  
03 = Lead Care Professional (From 1 April 2005)  
04 = Member of Care Professional team (From 1 April 2005)  
08 = Not applicable  
09 = Not known  
99 = Not known : a validation error","RULE_0121",NA,NA
"STP_GP_PRACTICE","Sustainability and Transformation Partnership Area of GP Practice ","String(9)","The code for the Sustainability and Transformation Partnership (STP) area where the patient’s GP practice is registered. It is derived from the GP practice code (GGPRAC).","an9 = STP code of GP practice
null = Not known, or GP practice is outside of England",NA,NA,"Y"
"STP_RESIDENCE","Sustainability and Transformation Partnership Area of Residence ","String(9)","The code for the Sustainability and Transformation Partnership (STP) area where the patient lived immediately before admission, derived in HES from the patient's postcode (HOMEADD).","an9 = STP code of residence
null = Not known, or patient's postcode is outside of England",NA,NA,"Y"
"STP_RESPONSIBILITY","Sustainability and Transformation Partnership Area of Responsibility ","String(9)","The code for the most suitable Sustainability and Transformation Partnership (STP) area of responsibility. It is derived firstly from the patient’s GP practice but if not available the patient’s STP of residence then the STP of treatment is used.","an9 = STP code of responsibility
null = Not known",NA,NA,"Y"
"STP_RESPONSIBILITY_ORIGIN","Origin of STP_RESPONSIBILITY","String(9)","The basis on which the STP of responsibility was assigned.",NA,NA,NA,"Y"
"STP_TREATMENT","Sustainability and Transformation Partnership Area of Treatment ","String(9)","The code for the Sustainability and Transformation Partnership (STP) area where the patient was treated. It is derived from the postcode of the site of treatment firstly, but where not available the postcode of the provider is used.","an9 = STP code of treatment
null = Not known",NA,NA,"Y"
"STP_TREATMENT_ORIGIN","Origin of STP_TREATMENT","String(9)","The basis on which the STP of treatment was assigned.",NA,NA,NA,"Y"
"SUSHRG","Healthcare Resource Group - SUS Generated","String(5)","The SUS PbR derived healthcare resource group (HRG) code (HRG4 from 2009-10).","5an = SUS generated HRG
Null = Records that have excluded from PbR in SUS as the activity is outside the scope of PbR",NA,NA,NA
"SUSHRGVERS","Healthcare Resource Group Version Number - SUS Generated","String(3)","The version number of the SUS generated HRG code (SUSHRG).","4.0 = HRG4
Null = Not applicable",NA,NA,NA
